School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Season
Hofstra,35,25,10,0.714,4.96,-2.3,2619,2324,67.6,109.5,0.204,0.396,0.573,48,50.3,9.1,11,0.553,14.1,23.8,0.151,2022
Holy Cross,32,10,22,0.313,-14.27,-6.4,2136,2324,69.1,96.2,0.253,0.322,0.512,45.7,49,9.1,7.1,0.495,15.7,22.3,0.157,2022
Houston NCAA,37,33,4,0.892,22.2,4.79,2770,2126,64.8,115.5,0.289,0.379,0.553,55.1,53.9,12.2,16.7,0.523,12.9,37.1,0.212,2022
Houston Christian,32,10,22,0.313,-17.18,-6.94,2482,2658,73.4,105.2,0.385,0.39,0.563,49.5,55.7,7.8,6.7,0.528,18.2,29.5,0.276,2022
Howard NCAA,35,22,13,0.629,-5.04,-5.14,2634,2542,71.8,104.4,0.333,0.37,0.558,51.7,56,10,8.5,0.527,19.5,34.1,0.237,2022
Idaho,32,10,22,0.313,-8.7,-3.86,2335,2332,67.1,107.5,0.353,0.365,0.572,47.9,46.2,7.5,4.7,0.534,15.1,22,0.269,2022
Idaho State,32,11,21,0.344,-6.56,-2.96,2213,2272,65.7,102.8,0.29,0.406,0.545,48.2,49.4,8.6,7.7,0.513,15.4,24.5,0.213,2022
Illinois NCAA,33,20,13,0.606,14.81,7.65,2452,2216,69.5,105.7,0.343,0.419,0.542,52.8,46.8,9.9,13.8,0.514,15.8,31.6,0.233,2022
Illinois State,32,11,21,0.344,-7.38,-3.38,2127,2255,65.7,99.6,0.313,0.406,0.545,51.3,46.8,8.6,9.5,0.502,19.3,28.2,0.248,2022
Illinois-Chicago,32,12,20,0.375,-8.83,-3.12,2149,2292,69.2,96.2,0.341,0.431,0.516,45.9,56.4,9.2,12.4,0.487,16.4,23.1,0.223,2022
Incarnate Word,31,12,19,0.387,-15.06,-8.28,2194,2290,69.3,100.9,0.342,0.317,0.537,47.3,49.2,11.9,7.6,0.497,17.2,27,0.255,2022
Indiana NCAA,35,23,12,0.657,14.94,8.88,2616,2404,68.4,109,0.295,0.266,0.561,51,53.6,8.5,13.6,0.535,14.7,28.1,0.209,2022
Indiana State,36,23,13,0.639,4.86,-4.02,2855,2507,71.2,110.7,0.31,0.459,0.596,51.5,56.5,9.1,5.1,0.564,15.3,21.9,0.239,2022
Iona NCAA,35,27,8,0.771,7.61,-2.76,2660,2297,68.8,110.1,0.29,0.32,0.548,50.4,53.1,10.8,14.6,0.516,13.1,31.6,0.212,2022
Iowa NCAA,33,19,14,0.576,14.08,8.69,2642,2464,69.6,113.7,0.323,0.375,0.551,51.3,57.5,9.3,8.3,0.517,11.9,32.1,0.238,2022
Iowa State NCAA,33,19,14,0.576,15.36,10.39,2231,2067,65.7,102.2,0.279,0.338,0.523,52.5,54.8,13.3,11.3,0.499,16.7,33.9,0.187,2022
IU Indy,32,5,27,0.156,-19,-5.57,2089,2456,67.7,96,0.313,0.286,0.529,48.9,45.5,8.5,7.2,0.5,20.4,29.3,0.216,2022
Jackson State,33,14,19,0.424,-11.36,-5.39,2232,2429,69.8,95.8,0.33,0.34,0.505,51.1,50.8,10.6,7.2,0.473,18.9,33.1,0.222,2022
Jacksonville,29,13,16,0.448,-6.19,-2.54,1837,1816,62,102.2,0.232,0.387,0.545,51.8,54.8,8.2,8.5,0.517,16.5,25.2,0.174,2022
Jacksonville State,31,13,18,0.419,-6.67,-2.6,2166,2178,66.5,104.7,0.328,0.438,0.55,52.9,51,8.3,8,0.521,17.2,30.4,0.229,2022
James Madison,33,22,11,0.667,4.96,-2.31,2658,2246,72.2,109.8,0.37,0.372,0.56,52.7,47.6,12.3,7.3,0.527,15.5,32.8,0.262,2022
Kansas NCAA,36,28,8,0.778,19.2,11.84,2715,2450,70.2,106.8,0.298,0.338,0.555,50.8,58.9,12.5,10.2,0.526,15.4,28.7,0.215,2022
Kansas City,32,11,21,0.344,-9.78,-3.28,2060,2199,65.4,97.2,0.324,0.361,0.484,52.6,41.5,9.1,11.3,0.443,16.9,36.5,0.231,2022
Kansas State NCAA,36,26,10,0.722,15.79,9.48,2742,2515,70.5,106.2,0.361,0.361,0.562,50.5,63.6,11.2,7.7,0.523,17,29.9,0.27,2022
Kennesaw State NCAA,35,26,9,0.743,0.6,-2.06,2626,2415,69.8,106.4,0.358,0.387,0.555,50.9,53.9,11.2,8,0.531,15.5,27.9,0.237,2022
Kent State NCAA,35,28,7,0.8,7.53,-1.22,2665,2305,69.7,108.9,0.308,0.384,0.546,50.5,45.1,12.6,12.1,0.514,14,31,0.224,2022
Kentucky NCAA,34,22,12,0.647,14.76,8.08,2532,2305,66.8,110.7,0.319,0.3,0.538,56.7,55.1,9.6,10,0.506,14.5,39.2,0.225,2022
La Salle,34,15,19,0.441,-2.79,-0.02,2374,2468,68.5,100.9,0.283,0.356,0.514,49.6,47.3,9.7,8.5,0.485,15.6,30.5,0.196,2022
Lafayette,34,11,23,0.324,-7.83,-4.53,2120,2232,63.5,96.1,0.245,0.484,0.505,48.1,68.8,8.9,9.4,0.487,15.9,23.8,0.153,2022
Lamar,31,9,22,0.29,-17.4,-7.65,2104,2311,67.9,99.2,0.325,0.315,0.516,50.2,53.7,9.4,10.2,0.481,17.8,33.2,0.229,2022
Lehigh,30,16,14,0.533,-9.08,-6.04,2094,2082,69.7,100.1,0.304,0.344,0.539,48.1,49.2,8.9,6.1,0.503,15.4,20.1,0.227,2022
Liberty,36,27,9,0.75,8.36,-1.91,2689,2194,65.7,113.8,0.262,0.496,0.588,52.8,60.2,9.6,6.8,0.566,14,25.8,0.19,2022
Lindenwood,32,11,21,0.344,-14.8,-6.35,2226,2362,69.2,98.6,0.278,0.355,0.525,47.7,46.8,9,9.4,0.493,16.7,25,0.202,2022
Lipscomb,33,20,13,0.606,-1.95,-4.02,2521,2343,69.7,108,0.25,0.377,0.568,52.3,49.4,7.6,7.5,0.543,15.2,26.4,0.186,2022
Little Rock,31,10,21,0.323,-12.62,-6.97,2337,2461,72.9,102.6,0.331,0.297,0.529,49.6,54.4,9.2,6.3,0.492,15.9,29.7,0.242,2022
Long Beach State,33,17,16,0.515,-0.58,-0.42,2524,2455,72.6,102.7,0.339,0.237,0.521,53.9,52.1,10,8.7,0.49,16.1,35,0.23,2022
Long Island University,29,3,26,0.103,-24.46,-6.61,1935,2319,73.6,90.7,0.318,0.25,0.499,48.1,58.3,9,8.5,0.47,19.7,26.1,0.21,2022
Longwood,32,20,12,0.625,-1.75,-6.35,2341,2119,67.1,109.1,0.33,0.373,0.551,52.4,47.9,9.6,7.2,0.518,15.2,32.6,0.238,2022
Louisiana NCAA,34,26,8,0.765,4.27,-0.51,2630,2362,69.2,111.4,0.365,0.322,0.568,54.5,51.5,10.3,7.5,0.542,15.2,34,0.249,2022
Louisiana State,33,14,19,0.424,3.32,6.44,2231,2334,66.7,101.4,0.337,0.389,0.513,50.7,52.9,10.1,8.1,0.473,15.7,31.7,0.243,2022
Louisiana Tech,33,15,18,0.455,0.1,1.9,2383,2320,67.7,104.3,0.283,0.422,0.544,51.5,47.8,11.4,8.5,0.515,17.1,31.6,0.204,2022
Louisiana-Monroe,32,11,21,0.344,-8.64,-0.57,2157,2235,67.2,99.1,0.299,0.371,0.508,49.8,53.1,10.1,10.2,0.473,16,29.7,0.213,2022
Louisville,32,4,28,0.125,-5.39,6.45,2046,2425,67,95.4,0.329,0.358,0.52,49.2,41.8,6.8,8,0.48,19.6,28.2,0.244,2022
Loyola (IL),31,10,21,0.323,-4.65,0.44,2089,2247,67,99.3,0.311,0.402,0.556,48.8,56.5,8.3,8.9,0.529,19.8,24.5,0.217,2022
Loyola (MD),33,13,20,0.394,-12.05,-6.14,2222,2331,66.8,100.4,0.28,0.385,0.539,48.9,55.8,11.2,6.8,0.52,17.8,27.4,0.18,2022
Loyola Marymount,31,19,12,0.613,4.98,4.32,2335,2265,69.1,107.6,0.311,0.433,0.556,53.2,44,7.8,7.3,0.533,15.9,30.9,0.209,2022
Maine,30,13,17,0.433,-8.88,-4.66,2054,2091,67,100.9,0.231,0.348,0.541,47.3,52.9,14,5.9,0.516,16.3,23.6,0.168,2022
Manhattan,30,12,18,0.4,-9.87,-4.94,2016,2112,67.2,98,0.309,0.366,0.523,46.7,50.5,11,9.6,0.497,17.4,26.9,0.204,2022
Marist,33,13,20,0.394,-8.44,-5.68,2110,2201,65.5,97.2,0.289,0.424,0.51,48.9,47.9,9,10.5,0.479,15.9,25.9,0.202,2022
Marquette NCAA,36,29,7,0.806,17.07,8.01,2856,2530,69.3,112.9,0.27,0.42,0.582,47.3,59.1,13,8.4,0.56,13.6,26.2,0.194,2022
Marshall,32,24,8,0.75,7.13,-2.84,2616,2281,72.7,111.1,0.258,0.368,0.55,50.3,56.9,12.2,12.8,0.527,13.5,32.4,0.179,2022
Maryland NCAA,35,22,13,0.629,14.58,8.35,2440,2222,64.5,107.7,0.343,0.369,0.545,51.1,46.2,8.4,10.1,0.508,14.3,30,0.251,2022
Maryland-Baltimore County,32,18,14,0.563,-6.22,-6.96,2378,2328,68.4,108.2,0.265,0.39,0.547,49.5,52.5,8.2,7,0.517,12.9,26.5,0.198,2022
Maryland-Eastern Shore,31,18,13,0.581,-7.63,-5.48,2162,2054,71.4,97.2,0.292,0.397,0.524,48.3,53.7,15.5,5.6,0.491,18,28.6,0.21,2022
Massachusetts,31,15,16,0.484,-1.34,0.3,2163,2214,70.7,98.7,0.322,0.297,0.502,52.6,54.6,9.6,11.2,0.464,17.1,34.5,0.231,2022
Massachusetts-Lowell,34,26,8,0.765,0.63,-8.53,2653,2243,69.7,111.6,0.332,0.31,0.574,56.1,50.4,10,12.6,0.543,16.8,36.4,0.244,2022
McNeese State,34,11,23,0.324,-13.63,-5.48,2352,2565,67.9,100.8,0.287,0.398,0.52,50.6,44.9,10.5,5.2,0.496,18.1,33.9,0.19,2022
Memphis NCAA,35,26,9,0.743,14.5,6.9,2778,2512,72.2,108.7,0.354,0.291,0.567,50.4,54.4,11.8,13.1,0.53,16,31.2,0.265,2022
Mercer,33,14,19,0.424,-5.11,-3.98,2268,2211,65.5,103.7,0.284,0.311,0.53,51.8,49.6,8.5,6,0.503,15.2,31,0.196,2022
Merrimack,34,18,16,0.529,-11.18,-9.12,2128,2119,67.1,93.2,0.343,0.44,0.524,43.4,58.6,16.6,11.2,0.491,19.1,20.8,0.237,2022
Miami (FL) NCAA,37,29,8,0.784,13.98,6.84,2925,2661,68.9,114.3,0.307,0.342,0.579,52,50.6,10.5,8.4,0.543,14,31.8,0.241,2022
Miami (OH),32,12,20,0.375,-7.46,-2.43,2357,2385,69.4,105.7,0.313,0.405,0.565,48.5,53,8.7,8.1,0.526,17.3,27.6,0.246,2022
Michigan,34,18,16,0.529,12.43,8.69,2494,2367,67.4,106.4,0.308,0.373,0.545,51,46.1,6.7,11.4,0.516,13.5,25.6,0.219,2022
Michigan State NCAA,34,21,13,0.618,14.25,11.25,2411,2309,65.4,106.8,0.272,0.33,0.549,52.2,56.5,7.1,8.4,0.517,14.4,27.6,0.206,2022
Middle Tennessee,33,19,14,0.576,2.95,2.08,2313,2236,67,103.9,0.287,0.356,0.538,51.4,41.5,11.2,13.7,0.513,17,33,0.196,2022
Milwaukee,34,22,12,0.647,-4.69,-3.98,2659,2522,72.3,106.2,0.33,0.375,0.557,51.8,50,9.4,14.6,0.523,17.8,33.6,0.244,2022
Minnesota,31,9,22,0.29,-0.3,7.86,1949,2202,65.4,95.4,0.308,0.355,0.511,47.5,63.1,7,9.7,0.49,17.4,25,0.191,2022
Mississippi,33,12,21,0.364,5.73,7.3,2227,2279,66.6,100.9,0.292,0.347,0.506,51.1,52.9,10.6,10,0.475,15.4,33.3,0.203,2022
Mississippi State NCAA,34,21,13,0.618,11.43,6.69,2234,2073,64.9,99.8,0.338,0.346,0.497,53.1,59.1,13.1,11.3,0.467,16.2,35.5,0.219,2022
Mississippi Valley State,32,5,27,0.156,-18.28,-4.56,1953,2392,68.2,88.7,0.38,0.276,0.492,47.6,47,11,6,0.454,20.7,28.6,0.253,2022
Missouri NCAA,35,25,10,0.714,11.41,6.89,2762,2604,70,112,0.291,0.432,0.58,44.7,56.5,14.5,8.5,0.55,14.1,26.3,0.22,2022
Missouri State,32,17,15,0.531,0.35,-1,2098,2021,63,102.9,0.27,0.432,0.524,53,48.4,9.8,13.4,0.506,16.4,33.5,0.169,2022
Monmouth,33,7,26,0.212,-15.64,-2.61,2036,2466,68.4,90.2,0.331,0.251,0.474,47.6,52.9,12.3,8.5,0.438,18.1,30.3,0.221,2022
Montana,31,17,14,0.548,-1.15,-1.85,2147,2114,64.1,107.6,0.292,0.398,0.571,50.1,49.6,7.3,7,0.536,15.6,24.5,0.23,2022
Montana State NCAA,35,25,10,0.714,2.18,-1.43,2588,2342,67.9,108.1,0.434,0.342,0.572,51.8,49.8,9.6,8.4,0.526,15.5,26.6,0.327,2022
Morehead State,34,22,12,0.647,-7.1,-5.07,2374,2266,66.9,104,0.346,0.386,0.54,52.5,56.7,8.5,9.8,0.503,15.5,28.3,0.251,2022
Morgan State,31,15,16,0.484,-11.58,-6.1,2323,2242,73.8,100.3,0.297,0.293,0.533,47.6,55.5,13.1,11.6,0.505,18.7,31.7,0.205,2022
Mount St. Mary's,33,13,20,0.394,-8.18,-4.02,2101,2212,65.8,96,0.255,0.342,0.515,49.4,53.2,8.3,6.8,0.485,18.1,27.8,0.186,2022
Murray State,32,17,15,0.531,-4.45,-1.61,2254,2305,66.9,104,0.333,0.325,0.534,50.4,48.6,8,7.4,0.495,14.2,27.6,0.245,2022
Navy,31,18,13,0.581,-2.79,-6.12,2152,2013,64.9,106.1,0.235,0.363,0.543,51.4,56.8,10.6,8.2,0.521,15.2,30.1,0.166,2022
NC State NCAA,34,23,11,0.676,12.5,5.58,2643,2408,69.8,110.9,0.253,0.371,0.541,51.2,44.2,11.2,11.8,0.515,11.6,30.4,0.182,2022
Nebraska,32,16,16,0.5,7.12,9.02,2175,2236,67.2,99.5,0.282,0.367,0.536,49.3,51,8.1,7.2,0.517,16.7,24.7,0.18,2022
Nevada NCAA,33,22,11,0.667,10.01,6.41,2397,2238,66.4,107.3,0.395,0.378,0.563,49.9,59.3,8.8,9.5,0.512,13.7,22.9,0.313,2022
Nevada-Las Vegas,32,19,13,0.594,7.2,5.17,2376,2241,69.6,104.6,0.347,0.396,0.538,48.1,50.2,12.8,12.3,0.501,15.1,28.5,0.251,2022
New Hampshire,30,15,15,0.5,-9.05,-5.7,1992,2011,65.7,100.2,0.29,0.415,0.5,49.2,50.3,8.1,6.7,0.469,13,27,0.201,2022
New Mexico,34,22,12,0.647,10.82,5.22,2749,2525,72,111.1,0.392,0.267,0.567,51.4,47.4,9.3,10.4,0.528,13.6,28.1,0.289,2022
New Mexico State,24,9,15,0.375,-1.56,2.45,1769,1720,71.6,102.9,0.336,0.374,0.535,51.4,46.1,10.2,7.3,0.506,15.6,29,0.229,2022
New Orleans,32,12,20,0.375,-14.23,-7.36,2340,2536,72.5,100.1,0.378,0.291,0.556,48.7,55.9,9.2,5.9,0.522,20.6,29.6,0.268,2022
Niagara,31,16,15,0.516,-6.78,-4.58,2016,2044,63.7,101.4,0.293,0.347,0.539,49.9,46.1,8.3,6.1,0.508,16.3,26.9,0.212,2022
Nicholls State,31,16,15,0.516,-8.54,-5.46,2344,2253,72.7,104,0.274,0.361,0.536,49.1,48.9,13.4,9.1,0.517,16.1,31,0.177,2022
NJIT,30,7,23,0.233,-12.57,-5.61,2008,2182,66.6,98.9,0.281,0.324,0.511,47.8,45.2,7.9,7.7,0.486,14.5,24.3,0.187,2022
Norfolk State,33,22,11,0.667,-3.72,-6.62,2501,2264,68.1,110.4,0.38,0.358,0.571,53.5,48.4,10.3,12.6,0.533,16.5,34.5,0.283,2022
North Alabama,33,18,15,0.545,-8.65,-3.95,2446,2452,69.5,105.5,0.297,0.35,0.55,49.2,42.4,8.3,8,0.522,14.4,24.7,0.21,2022
North Carolina,33,20,13,0.606,12.94,7.66,2514,2340,69.3,107.8,0.37,0.376,0.535,53.6,45.8,7.6,9.3,0.492,13.1,30.4,0.274,2022
North Carolina A&T,32,13,19,0.406,-11.4,-3.95,2264,2362,70.7,99.3,0.297,0.407,0.514,47.5,46.5,10.5,8,0.485,14.9,25,0.202,2022
North Carolina Central,30,18,12,0.6,-2.91,-6.1,2268,1977,70.2,106,0.342,0.353,0.562,52.6,53.9,11.2,9.3,0.533,18.5,32.9,0.24,2022
North Dakota,33,13,20,0.394,-7.6,-3.09,2380,2438,68.2,105,0.271,0.446,0.542,48.7,45.9,6.4,6.6,0.519,14.7,25.9,0.185,2022
North Dakota State,33,16,17,0.485,-4.56,-2.11,2404,2414,69.3,105.2,0.314,0.386,0.549,52.1,42.7,5.7,7.6,0.52,14.8,25.4,0.223,2022
North Florida,31,14,17,0.452,-6.75,-2.54,2363,2405,69.1,108.5,0.277,0.479,0.568,47.8,48.4,7.1,8.4,0.543,15.4,26.1,0.199,2022
North Texas,38,31,7,0.816,10.71,2.51,2452,2121,59.5,107.1,0.311,0.413,0.546,53.5,50.1,10.7,9.5,0.509,16.7,34.4,0.235,2022
Northeastern,30,10,20,0.333,-10.33,-3.96,1959,2150,67.1,96.5,0.278,0.373,0.508,52.2,52.9,7.3,10,0.48,18.3,31.7,0.19,2022
Northern Arizona,35,12,23,0.343,-3.87,-0.2,2581,2615,68,106.9,0.271,0.384,0.538,50,52,7.7,4.5,0.508,13.6,28,0.201,2022
Northern Colorado,32,12,20,0.375,-4.65,-0.65,2355,2480,69.3,105.3,0.319,0.402,0.555,48.9,43.9,6.6,4.2,0.52,15.3,24.2,0.238,2022
Northern Illinois,32,13,19,0.406,-6.55,-2.65,2304,2401,70.9,101.2,0.333,0.373,0.548,46.8,48,9.1,6.2,0.526,17.9,25.2,0.217,2022
Northern Iowa,32,14,18,0.438,-2.68,-1.07,2244,2238,67.8,102.6,0.31,0.391,0.547,49.9,45.9,9.3,4.8,0.52,15.8,22.9,0.216,2022
Northern Kentucky NCAA,35,22,13,0.629,-0.83,-2.89,2372,2224,63.5,104.8,0.278,0.414,0.525,49.1,55,14.5,8.1,0.497,14.9,32.2,0.194,2022
Northwestern NCAA,34,22,12,0.647,13.68,8.71,2303,2134,65,103.5,0.297,0.41,0.513,49.6,54.2,12,12.7,0.473,12.7,28.5,0.225,2022
Northwestern State,33,22,11,0.667,-4.72,-7.04,2463,2378,68.4,108.2,0.27,0.38,0.539,48.6,46.1,12,6.6,0.513,14.7,32.9,0.19,2022
Notre Dame,32,11,21,0.344,2.09,4.59,2227,2307,65.4,106,0.233,0.43,0.548,46.4,46.8,7.1,7.3,0.52,12.1,19.6,0.178,2022
Oakland,32,13,19,0.406,-8.06,-2.9,2347,2442,69,104.3,0.319,0.398,0.539,45.4,46.7,10.6,7.1,0.496,13.5,24.4,0.248,2022
Ohio,33,19,14,0.576,1.07,-2.68,2602,2413,69.7,112.7,0.277,0.383,0.557,52.2,43.6,9.6,6.2,0.53,13.7,33.3,0.202,2022
Ohio State,35,16,19,0.457,12.99,9.45,2538,2414,65.9,109.2,0.266,0.317,0.549,52,43.2,7.8,10.2,0.52,14,31.5,0.196,2022
Oklahoma,32,15,17,0.469,11.38,11.25,2165,2161,66.4,101.1,0.301,0.374,0.555,50,53.3,8.5,7.6,0.524,18,23.7,0.221,2022
Oklahoma State,36,20,16,0.556,12.62,10.18,2458,2370,68,99.7,0.325,0.39,0.52,52.6,51.7,8.3,13.7,0.488,17.7,32.6,0.225,2022
Old Dominion,31,19,12,0.613,-0.41,-0.64,2073,2052,65.6,101.5,0.367,0.297,0.501,51.9,44.6,9.6,11.7,0.464,14.4,32.8,0.249,2022
Omaha,32,9,23,0.281,-10.8,-1.83,2192,2438,68.3,99.9,0.296,0.299,0.532,48.1,47.7,7.8,8.4,0.492,16.3,24.3,0.23,2022
Oral Roberts NCAA,35,30,5,0.857,8.55,-2.84,2915,2458,71.5,116.5,0.246,0.46,0.585,50,48.6,9.5,14,0.558,11.7,25.4,0.19,2022
Oregon,36,21,15,0.583,13.83,9.5,2542,2386,66.5,105.7,0.32,0.391,0.54,53.8,52.1,8.4,13.1,0.511,15.8,32.6,0.222,2022
Oregon State,32,11,21,0.344,0.08,6.6,1959,2144,65.1,94.1,0.335,0.367,0.513,48.1,48.2,8.3,9.1,0.469,18.4,25.2,0.252,2022
Pacific,33,15,18,0.455,-0.56,2.05,2502,2565,70.8,106.3,0.339,0.396,0.561,46.1,48.3,7.6,7.3,0.529,14.9,23.4,0.244,2022
Penn State NCAA,37,23,14,0.622,13.04,9.02,2673,2524,64.4,110.4,0.213,0.471,0.575,48.2,51.9,6.6,5.8,0.554,12.5,19.2,0.157,2022
Pennsylvania,30,17,13,0.567,0.85,-1.11,2249,2160,67.9,108.5,0.294,0.388,0.564,52.7,54.7,8,9.5,0.534,16.1,30.3,0.218,2022
Pepperdine,31,9,22,0.29,-0.12,4.71,2417,2520,73.9,103.8,0.268,0.362,0.555,49.1,52.2,7.2,8.9,0.531,16.7,26.1,0.191,2022
Pittsburgh NCAA,36,24,12,0.667,10.59,5.2,2704,2510,68.1,110.4,0.329,0.434,0.562,51.1,54.4,7.6,11.4,0.525,14.3,29.5,0.249,2022
Portland,33,14,19,0.424,1.68,4.13,2566,2594,71.1,108.5,0.421,0.46,0.582,48.1,58.4,6.9,6.5,0.541,16,24.6,0.314,2022
Portland State,31,12,19,0.387,-5.17,-0.58,2363,2340,72.3,105.4,0.338,0.369,0.546,46.7,51.6,9.8,9.5,0.51,14.8,26,0.246,2022
Prairie View,32,13,19,0.406,-8.92,-6.58,2168,2196,69.7,95.4,0.329,0.33,0.49,51,45.5,10.6,9.8,0.454,16.5,32.3,0.225,2022
Presbyterian,32,5,27,0.156,-13.55,-5.02,2021,2223,65.1,96.2,0.369,0.36,0.503,49.9,47.9,8.4,9,0.476,17.6,30.7,0.231,2022
Princeton NCAA,32,23,9,0.719,4.76,-0.97,2416,2192,69,108.1,0.302,0.418,0.554,54.2,49.6,7,8.3,0.526,15,29.1,0.215,2022
Providence NCAA,33,21,12,0.636,12.89,6.55,2552,2343,68.2,111.2,0.363,0.319,0.551,54,53.5,9.9,11.2,0.511,14.3,34.8,0.269,2022
Purdue NCAA,35,29,6,0.829,18.23,8.31,2543,2196,64.2,112.8,0.372,0.384,0.558,58.1,61.3,7.4,9.9,0.518,14.6,38.4,0.277,2022
Purdue Fort Wayne,32,17,15,0.531,-5.46,-4.96,2364,2234,70.4,104.5,0.286,0.467,0.546,50.7,50,10.4,6.4,0.519,16.3,27.6,0.201,2022
Queens (NC),33,18,15,0.545,-4.16,-4.26,2564,2463,71,109.5,0.353,0.442,0.555,52.5,51.9,8.7,5.6,0.521,15.1,31.1,0.254,2022
Quinnipiac,32,20,12,0.625,-2.43,-5.2,2335,2231,69.3,104,0.33,0.38,0.529,52.3,50.7,8.7,6.7,0.502,15.5,32.1,0.22,2022
Radford,36,21,15,0.583,-1.86,-3.86,2496,2332,64.9,106.5,0.286,0.323,0.543,51.6,45.8,10.7,8.7,0.518,15.6,31.3,0.197,2022
Rhode Island,31,9,22,0.29,-4.16,0.49,2046,2190,68.3,95.4,0.37,0.313,0.493,50.7,49.9,9.3,10,0.442,17.4,31.6,0.275,2022
Rice,35,19,16,0.543,-1.95,1.4,2693,2680,70.8,107.1,0.312,0.426,0.571,50.2,55.8,8.3,6.3,0.541,16,24.8,0.231,2022
Richmond,33,15,18,0.455,1.43,0.34,2273,2237,66.4,102.2,0.33,0.441,0.549,48.4,51.1,8.5,6.9,0.512,15.5,21,0.246,2022
Rider,30,16,14,0.533,-3.49,-4.9,2105,2027,65.1,106.5,0.288,0.257,0.53,53.4,43,8.1,7.2,0.497,14.8,34,0.211,2022
Robert Morris,33,16,17,0.485,-5.83,-5.57,2287,2205,67.4,102.5,0.265,0.369,0.533,50.8,54.1,9.9,10.9,0.505,16.8,29.6,0.191,2022
Rutgers,34,19,15,0.559,14.58,7.31,2326,2079,66.1,102.7,0.282,0.302,0.51,51.8,59.1,13.1,12.4,0.479,14.5,32.1,0.197,2022
Sacramento State,32,14,18,0.438,-4.63,-1.6,2114,2169,63.3,102.3,0.279,0.359,0.533,54.6,56,6.9,6.8,0.506,17.7,33.1,0.195,2022
Sacred Heart,33,16,17,0.485,-12.78,-10.91,2332,2351,70.4,99.6,0.276,0.365,0.515,49,51.4,11.1,8.7,0.489,16.2,28.8,0.187,2022
Saint Francis (PA),31,13,18,0.419,-13.41,-9.27,2263,2286,69.2,105,0.32,0.36,0.558,49.4,52.9,6.4,5.3,0.53,16.2,25.9,0.226,2022
Saint Joseph's,33,16,17,0.485,-0.33,-0.3,2388,2389,69.4,103.5,0.342,0.459,0.535,48.9,48.8,9.4,9.6,0.502,15.9,28.9,0.241,2022
Saint Louis,33,21,12,0.636,6.04,2.85,2493,2348,69.9,108.1,0.292,0.327,0.556,53,59,7.2,10.8,0.526,15.1,30,0.214,2022
Saint Mary's (CA) NCAA,35,27,8,0.771,17.41,7.18,2473,2105,63.8,109.6,0.32,0.369,0.55,55.3,49.1,10.6,9.9,0.522,14.2,32.9,0.222,2022
Saint Peter's,32,14,18,0.438,-9.9,-5.25,1986,2083,63.2,97.5,0.289,0.354,0.477,51.9,46.9,9.8,10.3,0.443,15.9,36.8,0.199,2022
Sam Houston,34,26,8,0.765,7.15,1.08,2454,2015,66.7,107.4,0.293,0.373,0.549,54.6,51.5,12.2,8.4,0.527,16.6,33.7,0.198,2022
Samford,32,21,11,0.656,0.5,-4.36,2519,2290,69.9,110.9,0.412,0.448,0.575,51.6,45,11.4,8.3,0.533,15.6,29.3,0.308,2022
San Diego,31,11,20,0.355,-2.06,3.28,2391,2495,70.4,108.6,0.312,0.367,0.553,48.8,46.9,9.4,5.2,0.516,14.1,28.7,0.239,2022
San Diego State NCAA,39,32,7,0.821,15.81,8.92,2775,2475,66.6,106.1,0.327,0.346,0.533,53,51.1,10,11.7,0.498,14.8,31.9,0.236,2022
San Francisco,34,20,14,0.588,6,3.63,2591,2496,70.4,107.4,0.322,0.489,0.569,51.3,49.4,9.5,6.7,0.535,17.1,28.9,0.241,2022
San Jose State,35,21,14,0.6,5.17,4.52,2362,2318,63.2,105.6,0.265,0.408,0.526,55.6,49.3,6.3,11.4,0.502,15.6,35.4,0.18,2022
Santa Clara,33,23,10,0.697,8.55,5.05,2538,2413,71.2,106.8,0.298,0.366,0.549,53.3,50.1,8.2,10,0.521,15.2,30,0.21,2022
Seattle,32,20,12,0.625,0.91,0.67,2303,2209,70.8,101.3,0.325,0.445,0.511,51.3,48.5,8.6,8.2,0.473,14.5,29.9,0.233,2022
Seton Hall,33,17,16,0.515,11,8.5,2256,2149,67.8,100.9,0.407,0.328,0.53,50.8,51.1,12.2,12.3,0.492,17.6,30.9,0.279,2022
Siena,32,17,15,0.531,-3.44,-4.82,2195,2151,66.6,101.8,0.345,0.345,0.533,51.9,53.4,8.4,10.6,0.493,16.9,30.5,0.254,2022
South Alabama,35,19,16,0.543,3.58,-0.49,2483,2282,66.7,106,0.22,0.378,0.552,47.7,41.8,9,10.4,0.534,13.2,21.1,0.151,2022
South Carolina,32,11,21,0.344,-2.28,6,2059,2324,65.1,97.2,0.268,0.409,0.495,49.3,47.7,7.4,7.1,0.469,16.8,32.7,0.177,2022
South Carolina State,31,5,26,0.161,-16.73,-4.13,2274,2599,73.7,98.7,0.29,0.339,0.505,48.8,51.9,9.7,8.8,0.477,17.7,34.7,0.194,2022
